,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GDPPI,1,1.000134949419581,1.000293824894353,1.0002990099648483,1.0002462981793068,1.0001738733727312,1.0002178362748608,1.0002118376178026,1.0001990794027993,1.0001574649095069,1.0001221941167806,1.0000673024146303,1.0000078694555903,0.9999454543706254,0.9998811038302565,0.9998153944739027,0.9997098202900143,0.9996089586590011,0.9995257055603812,0.9994344799427051,0.9993472838492419,0.9992407356774962,0.9991277076435388,0.9990308250197479,0.9989277057689285,0.9988399152397894,0.9987067452925878,0.9985807493994238,0.9984616952185935,0.9983495304501288,0.9982441220326704,0.9981452108974604,0.9980528330979355,0.9979668802194698,0.9978871969812282,0.9978135518578607
GDP,2198431.0000000005,2222814.9271014766,2245320.537272912,2551718.7612638897,3072496.5641296175,2732764.072303691,2638400.6141895107,2840497.596803447,2818050.904226593,2877169.9818756063,2941838.43125123,3007169.3759713494,3069111.151948555,3135833.9444819125,3201172.3476110697,3269427.3340717335,3332071.819649334,3374528.903476988,3417466.3455706905,3460740.774260455,3505379.4877893245,3551345.5411901907,3597008.6175371725,3641792.042210442,3684825.5414082985,3725981.525375266,3763969.9247319675,3802389.786054698,3839955.8766906257,3876774.9230291606,3913720.8960394426,3947036.4757431457,3980478.223266999,4014986.4216050464,4050911.101477566,4089181.6250136117
T,286154.99,289332.14353289374,292265.659489456,332148.6189037959,399934.6194057531,355710.73732404475,343429.21868740016,369735.1156363285,366812.9181938565,374506.82797647663,382923.239526493,391425.2039789623,399485.83120371215,408168.6352536902,416671.1428255834,425553.200591892,433703.69279652834,439226.7749947182,444812.9656953934,450442.825536461,456250.4257880563,462230.3249569437,468170.7307893173,473997.16063869145,479595.78816722246,484950.4971395915,489892.1475308769,494890.3366616263,499777.7513590591,504568.2491194338,509375.54290376324,513710.57610742195,518062.23562291445,522552.862565803,527227.9757352865,532208.4938645124
w,100,99.49587706120869,98.92086226868447,111.339916509411,132.79952034423184,117.01644978511436,111.91435451097537,119.48477868127287,117.45634268556671,118.94690850211205,120.53132572673901,122.22754097805812,123.76142311906769,125.46344299893066,127.08477802206134,128.79665400389786,130.60847195920294,131.61442351008412,132.5126977197775,133.52886255189594,134.58699212224047,135.9186073756915,137.34746612126884,138.61694059183083,139.9307429218334,141.04671697406593,142.639623123495,144.25144161967606,145.83343871440718,147.38954168645424,148.9529213861256,150.3804878268875,151.8150274213593,153.29245581788737,154.82630254590555,156.45236198728276
Kj,598.8361654913339,603.4999329649692,607.29854669961,612.9982859355483,620.7881567617484,629.3678160458742,633.6481427641928,639.193549533227,645.5917051813184,652.5218101916413,659.836882895285,667.3772372014469,675.1645039729995,683.1465363815548,691.2885393451763,699.5730380372387,707.9109976035962,716.1990011328093,724.4276834950892,732.5594177056744,740.6417559627433,748.6278344556082,756.5413122368323,764.4301631828868,772.2454367594303,780.0262605485009,787.5962513580862,795.1192792563397,802.6010087867991,810.0357305447042,817.4234204114666,824.7753409289887,832.0801229030662,839.3377207957022,846.5537005194709,853.7447993455272
Kj,23.143322581243314,23.279790232089,23.375263997051032,23.59298236413808,23.910009212642795,24.264590229233473,24.414844888225453,24.630541539011354,24.881448980338607,25.162961531181573,25.45746132404008,25.768010156426747,26.090321033307294,26.421919028998193,26.761152632720005,27.107192890682136,27.471887359654605,27.83426767823555,28.18850124784428,28.54353492877445,28.89625488820349,29.255205960060696,29.61613549446693,29.970525926424703,30.326828299151394,30.676093976611213,31.04230778269851,31.406235040593884,31.768107827694756,32.12761638282073,32.484722110825736,32.839923522085535,33.19264190263916,33.54283793218904,33.890738723084034,34.2371000668825
Kj,586.9012845984969,590.6473473630087,593.4118717979886,598.9502966700373,606.8818246669872,615.7199089528996,619.6313907550845,625.092002875937,631.4304895098526,638.4784303863961,645.8688425351716,653.6188003165197,661.6539856432765,669.9150173910741,678.362321618222,686.9761542971645,695.9642768689629,704.9019330663355,713.6726443547353,722.4421842829261,731.1607240705671,739.9894726878224,748.8525067106301,757.5878214703024,766.3576856374377,774.9854586630653,783.9443544883461,792.8689413637723,801.7654882339161,810.6269406603838,819.4529046061443,828.2563378198644,837.0235090461543,845.754026708458,854.4541821701512,863.1436421160734
Kj,37.68794942146083,38.181667393784366,38.65520973505566,39.025618182862075,39.44296893701128,39.87786321365295,40.21654119516297,40.559231615842734,40.9452913026959,41.31892142419605,41.72540010571821,42.11246168912202,42.50485904629717,42.90139339462275,43.3012603842433,43.704044365805245,44.03390083768041,44.36206249707159,44.713144336846185,45.036864603092084,45.358991329134106,45.628511862789935,45.87053935256453,46.13628178387495,46.37436735305631,46.63621014824937,46.76520414449351,46.89131598012266,47.01466315493378,47.13513392158732,47.25273086179033,47.367671020039865,47.479732868234926,47.58891567309184,47.695320745538474,47.79924478660275
Kj,63.31794884104577,63.72046907845795,64.0169322679573,64.61435812603158,65.47059216384937,66.42489126402047,66.846349298996,67.4355154406147,68.11947013304005,68.88032131005305,69.67806052389952,70.51486731328447,71.38254747996274,72.27468316741877,73.1869981660378,74.11736094686098,75.08885180704323,76.05496783663978,77.00288051309037,77.95095757089463,78.89359610837963,79.84875307458682,80.80802707196453,81.75335366957991,82.7028606511668,83.63682939271406,84.60850110808501,85.57682713669317,86.54250254588182,87.50477723422048,88.46362351678167,89.42046467407215,90.37382540105168,91.32367880914322,92.27072535854204,93.2171233284572
Kj,40.90502489330623,41.268388514014475,41.580156959806274,41.9720983329954,42.48796871152191,43.05059187400145,43.35843186163664,43.735818869528096,44.169157556228605,44.62858330593555,45.11621878481703,45.61171827879271,46.121774526470915,46.64328506917302,47.1741782954869,47.71340961430654,48.23906091961649,48.76153110354055,49.285894128911096,49.79874929279501,50.30849689051065,50.80099500331106,51.28318809255382,51.769352096199626,52.245112366880576,52.72436323082675,53.16159028487037,53.59542868606846,54.02622577739512,54.453664116857475,54.87775845855751,55.29917916231308,55.71727933446568,56.132071530717965,56.54389292981013,56.95372497888363
Kj,252.71017653868793,253.77559613747363,254.33288301306612,256.68615058941634,260.29700554614277,264.3861815778839,265.88297756055033,268.25119139727013,271.02523850974563,274.2292189733301,277.5578347796703,281.1335375294419,284.86127675463916,288.7101283841149,292.65952778967113,296.699330003414,301.1173653474948,305.51469275486966,309.76839388060176,314.08676022117095,318.3831731645562,322.8687638843386,327.4443311733013,331.8965588259209,336.4401787007016,340.85020497221353,345.78154185355413,350.7122171776049,355.64538789334784,360.5769367686847,365.50636758301664,370.44056743499453,375.37170539447874,380.29927858115747,385.22651308937856,390.1641705842025
Kj,198.70942799521487,197.64176060797976,195.92332143464273,197.66690523569326,201.16611649213323,205.34753623713243,205.88416496168995,207.80366230555626,210.13724750070327,213.23566457099756,216.35686093579733,219.99559153029932,223.86311788128705,227.91863509882577,232.135477992474,236.50156668902153,241.97188277599864,247.4618409828152,252.59847410679734,258.05956173956906,263.5332590553408,269.74793038951634,276.38625395255247,282.7034192345731,289.4627955163878,295.8648771575946,304.3898218056629,313.1006396965428,322.007474015356,331.1079165725053,340.4057784514384,349.91889160669905,359.6379310237284,369.5669105435864,379.717418008601,390.11727324563
Kj,155.33624550669714,156.430991829589,157.2824166850917,158.75424085930214,160.81643447081342,163.1019817707276,164.17267419410717,165.61473304402728,167.28387744057278,169.1172779629142,171.0456570333673,173.05181168049913,175.1279998267085,177.2595275341045,179.43659436703825,181.65429178871722,183.93043235222993,186.19319855083427,188.42533812307747,190.64511555577158,192.85151938451622,195.06083297843298,197.26540717474595,199.44903248883475,201.62773422644426,203.78236486419266,205.9546063234358,208.11529512507778,210.26594414759157,212.40482335099094,214.53182500570247,216.65007143020244,218.75621720887665,220.85015336723708,222.9333804018738,225.010605829606
Kj,166.5440371143065,167.92239721547128,169.07270275714367,170.66254129121,172.80000746524036,175.1440720108542,176.36227869376515,177.90201401122707,179.67478259400986,181.57703398856557,183.5897267440518,185.65136585339016,187.77730907483544,189.9538381521838,192.17178842073062,194.42653317691006,196.66367690271568,198.88659332681345,201.10358418086693,203.28365284741966,205.44976817811408,207.56742396691374,209.65304885358157,211.74175545307418,213.79779409330973,215.8548543703189,217.79387672884417,219.71627191131685,221.62340271182373,223.5137089445863,225.38709410730348,227.2463339766133,229.0884298325181,230.91327882445748,232.72219514064858,234.51929010032651
Kj,128.35429870288064,128.84564192983927,129.05937512831463,130.25106358973224,132.1081865237014,134.21621390642005,134.95639782540823,136.16121157080428,137.5751602752272,139.22038778367272,140.9257761378808,142.76450645993194,144.68120273674512,146.65912989557435,148.68709041453468,150.7593673392331,153.03057362735547,155.28328414567451,157.4542653181786,159.65238368850274,161.83200822563657,164.09610530334064,166.39036640824608,168.61268377499286,170.86303618738273,173.0393927669153,175.41879060689152,177.76673689466455,180.08374393875212,182.3668760972997,184.6149486124558,186.83009992047323,189.00777230006364,191.14680586765363,193.2476474843116,195.3138090285524
Kj,48.12374681985144,48.711726283537104,49.26618938770553,49.736655322397674,50.28524867891773,50.863065310216044,51.280706353915974,51.71964375292252,52.21616278167348,52.70661012005944,53.23712964926359,53.749955930860025,54.27168092766579,54.80031142695936,55.33451031448522,55.873587425562036,56.335212859329076,56.794061543620835,57.27645046240235,57.72797618134517,58.1768844526536,58.56759337542581,58.92726584794072,59.31179463382284,59.66502088613133,60.04315368534639,60.27369172102186,60.499544322105706,60.72090498313062,60.93758417986584,61.14958408879692,61.3572668892885,61.560260498767065,61.75856301936493,61.952344400582206,62.14210378432767
